user_text,catalog_description,id_articulo,frequency,last_used_month
100x500 de hierro upn,"ML UPN 100 HIERRO (10,87KG/M)",ART-6e4008cdd0,1,2025-03
taco fischer de 10,TACO 10 PLASTICO 4 SEGMENTOS,ART-fb9d671f81,1,2025-03
tirafondo de 8,TORNILLO GOLOSO 8*50 CABEZA HEXAGONAL DIN571,ART-b5c2f41f33,1,2025-03
tuerca metrica 8,TUERCA M8 ZINCADO DIN 934,ART-4acbffb020,1,2025-03
te galva 1,TE 11/2 GALVA,ART-4951928ad8,1,2025-03
te inox 316 de 60,"TE 60,3 (2) INOX316L ISO",ART-b7677ad31b,1,2025-03
perfil 5050x2 hierro,"ML CUADRADILLO 50*50*2 HIERRO (3,13kg/m)",ART-6aa30e8db0,1,2025-03
te dn50 inox,TE DN50 Ø53 INOX PULIDO 316L ALIMENTACION DIN,ART-5207a642d1,1,2025-03
metro de carril strut 41x21,UD CARRIL PERFORADO 41/21*2000 GALVANIZADO  E2,ART-9c6bf57339,1,2025-03
metro de carril strut 41x41,UD CARRIL PERFORADO 41/41*2000 GALVANIZADO  E2,ART-bc320d35c6,1,2025-03
taco expansivo metrica 10 laton,ANCLAJE HEMBRA M10*40 C/ REBORDE,ART-d75459f076,1,2025-03
tuerca metrica 10,TUERCA M10 ZINCADO DIN 934,ART-1200ab490c,1,2025-03
varilla roscada metrica 10,VARILLA ROSCADA M10 ZINCADO DIN 975,ART-8c311a8025,1,2025-03
arandela metrica 10,ARANDELA M10 ZINCADO DIN125,ART-24bd791bce,1,2025-03
aluminio para calorificar,"ML RECUBRIMIENTO ACABADO 33 30MM 0,6 ALUMINIO",ART-026f670cf1,1,2025-03
codo 22 inox prensar 90 mh,CODO 22 INOX PRENSAR 90 MH,ART-374a7adc47,1,2025-03
codo mixto 2234 inox prensar 90 h,CODO MIXTO 22-3/4 INOX PRENSAR 90 H,ART-c30407b0e8,1,2025-03
cana dharmaflex autoadesiva de 19mm,ML COQUILLA 28*19 CAUCHO AUTOADHESIVA (48),ART-93ddf4e566,1,2025-03
electrovalvula de media de vapor para monvaque mutilva,ELECTROVALVULA 1/2 P/ VAPOR BURKERT 6407 220V N. C.,ART-ecfa17f333,1,2025-03
fibra de 40 milimetros,ML COQUILLA 1*40 (12) FIBRA DE VIDRIO NO REVESTIDA REF. 520025 M,ART-c139cfa36a,1,2025-03
manguito 22 inox prensar h,MANGUITO 22 INOX PRENSAR H,ART-16413fb2b5,1,2025-03
te 3 octavos inox,TE 3/8 INOX ROSCAR,ART-39d71348c5,1,2025-03
te de 20 pvc presion,TE 20 PVC PRESION 90º,ART-d6a6e48894,1,2025-03
te de 28 inospres,TE 28 INOX PRENSAR,ART-a4cecdf496,1,2025-03
te inox roscar de media,TE 1/2 INOX ROSCAR,ART-bc2da1cf78,1,2025-03
te inox 34 roscada,TE 3/4 INOX ROSCAR,ART-a53747a5f8,1,2025-03
te media inox roscada,TE 1/2 INOX ROSCAR,ART-bc2da1cf78,1,2025-03
te forjado de 2 pulgadas,TE 2 FORJADO,ART-3d1293023a,1,2025-03
te 282228 inospres,TE RED 28-22-28 INOX PRENSAR,ART-46266859f7,1,2025-03
upn de hierro de 100,"ML UPN 100 HIERRO (10,87KG/M)",ART-6e4008cdd0,1,2025-03
abarcon de 2 pulgadas,ABARCON 2 60 M8,ART-cfc0d3cbac,1,2025-03
abarcon de 3 pulgadas,ABARCON 3 90 M8,ART-878f745315,1,2025-03
abarcon de 4 pulgadas,ABARCON 4 115 M8,ART-1c99ae0fc1,2,2025-03
abrazadera 1 pulgada y media,ABRAZADERA REFORZADA 48 11/2 INOX M8/10,ART-9d30d13bf5,1,2025-03
abrazadera clamp dn50 inox,"ABRAZADERA CLAMP DN50,2 (50,8) INOX304 ALIMENTACION",ART-1394bd7ea0,1,2025-03
abrazadera fuerte 4 pulgadas,ABRAZADERA 110 REFORZADA M8/10,ART-7d3b162b72,1,2025-03
abrazadera fuerte de 2 pulgadas,ABRAZADERA 60 2 REFORZADA M8/10,ART-ff72b44d27,1,2025-03
abrazadera fuerte de 3 pulgadas,ABRAZADERA 90 3 REFORZADA M8/10,ART-7d63afd7d6,1,2025-03
abrazadera isofonica de 48,ABRAZADERA ISOFONICA 48 11/2 REFORZADA M8/10,ART-66447821a4,1,2025-03
abrazadera isofonica diametro 110mm,ABRAZADERA ISOFONICA 110 REFORZADA M8/10,ART-8893c978f8,1,2025-03
abrazadera reforzada 2 pulgadas,ABRAZADERA 60 2 REFORZADA M8/10,ART-ff72b44d27,1,2025-03
abrazadera 160,ABRAZADERA REFORZADA 160 6 INOX M8/10,ART-e62b24c1c2,1,2025-03
abrazadera 18 isofonicas,ABRAZADERA ISOFONICA 18 3/8 REFORZADA M8/10,ART-28478359e9,1,2025-03
abrazadera inox de 12,ABRAZADERA DN10-15MM SOPORTE INOX304 ALIMENTACION DIN,ART-399e488cf0,1,2025-03
abrazadera isofonicas de diametro 35,ABRAZADERA ISOFONICA 35 1 REFORZADA M8/10,ART-e614021cca,1,2025-03
abrazadera isofonicas diametro 60mm,ABRAZADERA ISOFONICA 60 2 REFORZADA M8/10,ART-d2a26334f2,1,2025-03
abrazadera puzzle de 15,ABRAZADERA PUZZLE 15 INOX,ART-5c25158225,1,2025-03
abrazadera sin fin 5070,ABRAZADERA SIN FIN 50-70,ART-86fef07f6a,2,2025-04
